Company,Capital ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
AAPL,E,626550.3528,428699.7977,591015.7208,615336.4559,603253.5663,790050.0981,1073390.54,995151.5669,1966078.923,2324390.219,2203381.335
ABT,E,103271.6885,59338.59634,67891.7357,66137.38515,56572.89829,99507.36614,126983.9223,153091.0106,193931.9727,248276.9007,190792.5131
ACN,E,39016.1464,45954.10675,50946.64445,59079.66192,71377.9335,80490.74597,108042.2416,125991.832,152155.9585,212735.4851,182067.1907
AEP,E,20728.31024,22798.69698,29716.48944,28613.65831,30958.18752,36220.43602,36941.53874,46805.9689,41443.16585,44946.32879,48885.30691
AMGN,E,65193.06,86084.768,121124.116,122396.82,107932.222,125590.58,122564.232,142568.798,132962.736,125600.751,140249.76
APTV,E,12060.18675,18423.17057,21206.53368,23850.77184,18170.3565,22551.2072,16007.64587,24244.70136,35181.55725,44621.2843,25233.5735
ASML,E,26217.35435,41307.8324,46683.38105,37992.40599,48239.3802,74289.62508,65531.27076,124238.8673,203142.2081,320527.5563,215603.4296
ATO,E,3229.6896,3860.3576,4788.5076,5904.04822,7739.74157,8895.8432,10449.74134,13591.51871,12033.06038,11679.444,14350.35945
AZO,E,13390.80592,14401.00242,17406.68736,21951.53741,21599.7324,14708.07052,19741.02496,26482.42422,27964.94256,32745.9327,40532.01046
BA,E,56944.35216,102009.7597,91860.50544,96387.16416,96078.22336,174303.3115,183064.2225,183373.2358,124651.4192,118560.7704,113834.9191
BKNG,E,31373.39516,60528.7555,59216.80004,63252.8194,72112.55928,84231.73328,78597.46944,85059.33541,91228.9792,98526.77918,76304.54664
BWA,E,8277.33826,12743.73403,12442.3285,9481.41975,8371.65272,10770.43617,7233.3891,8953.97904,9232.29384,10806.74939,9423.4105
CAT,E,58697.95832,57920.61582,55482.46551,39574.60312,54390.71164,94173.90508,73134.24901,81236.25744,99256.23408,110789.4851,123695.8478
CLX,E,9388.06252,10838.71238,11771.9544,13378.42828,17901.43845,17189.82536,17309.70075,19243.78346,27684.27463,22089.3498,17361.96896
CMI,E,20402.305,26135.838,26109.187,15340.143,22892.225,29180.928,21061.664,26933.48,33533.1318,31084.95,34235.577
COP,E,70748.78583,86612.59035,85037.23818,57708.65324,62036.66766,64611.40323,70976.06015,70548.96604,42710.99958,93995.89974,144415.008
COST,E,42314.0945,48869.17893,52994.65764,61335.1776,70918.26516,68527.35496,102155.0016,129583.865,153406.7133,201246.8693,231114.8744
CSCO,E,84503.1,137904.51,128849.61,144515.7,153535.37,156715.35,195126.06,235450,199562.7,233495.29,186470.7
CSX,E,20134.16905,29024.9022,35925.34193,25055.0883,33349.5074,48950.70351,50833.5234,55968.36156,69199.50675,82787.1912,64016.04966
CVS,E,59518.85,84452.6,109793.4,107644.77,83723.51,73515,84848.4,96725.58,89473,136377.52,121147
CVX,E,210515.9217,239028.1507,210859.0248,169377.9474,222630.3739,238449.6434,207009.746,226820.0657,162581.9577,226462.7341,343762.2993
D,E,30562.39213,38414.58565,44986.5,40313.44,48098.52,52283.7,48664.26,74998.63887,66708.07882,72092.31909,54700.30417
DIS,E,93058.4,114340.77,151974.21,169754.2,148297.42,149530.69,174006.72,234836.64,224584.8,307551.06,172057.92
DPZ,E,2452.43115,3884.31085,5231.42601,5544.4775,7659.444,8106.00608,10162.13422,11438.03052,14904.32328,20393.75754,12269.488
DUK,E,45017.42239,48721.06,59062.78,49116.32,54334,58877,62740.1,69780.98922,73412.63365,84011.80246,82579.35117
EBAY,E,65991.0238,70995.31,68690.88,32536.32,32273.03,38834.46,25684.05,28743.56,34371,39501,22352.33
EOG,E,32810.42928,45834.75424,50481.52065,38924.51861,58304.37,62423.45307,50583.80583,48741.11664,29102.68577,51989.08995,76118.38592
EW,E,10306.431,7187.568,13731.564,17012.292,19826.92,23635.287,31813.409,48780.939,56954.889,80852.155,45385.263
GD,E,24498.99798,33767.65665,45712.40968,42991.89432,52215.66454,60403.4912,45386.21258,51072.7235,42633.65596,57875.64987,68084.11321
GILD,E,55791.2979,115881.4691,141433.1338,143907.7074,93809.1,93705.12,80189.1,82264.68,73058.04,91052.94,107054.95
GM,E,55225.46832,66130.49104,55856,51015,52260,57386,46830,51240,58296,87945,47096
HCA,E,13371.344,20973.50684,30858.88042,26966.71857,27427.07472,30752.08128,42673.28275,50025.70326,55821.99996,78483.15084,66559.62488
HES,E,18087.32288,27001.062,21100.3397,13867.51008,19717.57432,14956.96683,11804.34342,20374.04355,16205.4742,22930.42235,43422.02214
HII,E,2148.32046,4390.41777,5431.818,5949.265,8509.578,10630.07,7973.989,10235.904,6904.44,7469.6,9204.132
HON,E,49684.316,71615.806,78157.424,79790.328,88138.68,115158.024,96394.752,125864.7,148209.36,142787.648,143066.68
INTC,E,101945.28,128918.485,175117.8098,165166.5307,173841.903,219066.5459,213126.8344,257269.9865,202368.84,209605,109340.91
IPG,E,5064.261521,7513.65,8594.626,9386.496,9167.356,7725.312,7913.668,8939.7,9193.968,14766.535,12874.315
JNJ,E,194772.0789,258341.3185,291041.6291,283010.2406,311817.1323,374802.393,343572.9122,384003.7961,414304.7386,449737.0426,461691.9101
LLY,E,53938.47276,54406.545,73172.65673,88916.79742,77291.85625,88683.67568,116534.0902,119276.1422,153068.6556,249607.0317,329322.5829
MMM,E,63796.4922,93027.264,104365.3832,91789.4712,106557.3618,140017.8471,109860.6005,101474.1377,100984.9225,101576.8274,65865.4604
MSFT,E,256374.79,287690.76,343566.3,354392.05,399535.36,531312.44,757028.97,1023856.28,1540774.21,2036897.1,1916979.12
NFLX,E,5146.80033,21945.50919,20638.70976,48947.7772,53240.6852,83194.12028,116860.0883,141984.781,239486.6134,267461.0697,131323.9234
NVDA,E,7561.42856,8917.5529,10465.05417,15787.31,63870.3,148954.8,87112.5,144695.16,322145.8,613619.16,481782.42
NVO,E,88554.97143,97817.4868,109743.9278,147978.0245,89805.38138,131169.48,110291.58,136133.76,161528.125,255236.8,304501.466
PEP,E,105076.1958,127029.7755,141036.8841,145183.4068,149965.8174,170929.9972,155666.32,190107.97,204654,240240.93,248768.82
PFE,E,182564.607,196086.1701,196044.3864,199409.1087,197233.0974,216623.1749,249621.8496,216880.5108,204921.27,331861,287763.84
T,E,188148.8255,183757.2706,174228.4077,211447.3854,261091.4148,238700.844,207817.6917,283508.0094,204941.5167,175670.1744,131218.9687
UNH,E,55270.56,74396.4,96439.86,112110.92,152358.08,213625.74,239155.2,278693.04,331743.28,472513.74,495188.12
VZ,E,123690.2806,140638.68,194369.2159,188262.1485,217613.3919,215926.6647,232302.8953,253939.8392,243115.1375,218117.636,165474.5628
XOM,E,389648.1,438702,388382.45,323960.2,374398.48,354549.96,288921.03,295448.52,174484.26,259384.41,450244.6
AAPL,F,29562,42241,67184.5,98401.5,108639.5,141869.5,123503.5,108379.5,111049.5,131594.5,141741.5
ABT,F,21446.063,10299,10924,10935.5,16176.5,21719,17823.5,18710,20461.5,21094,21991.5
ACN,F,5558.721,5652.551,5444.0355,5735.3555,6163.4615,6457.3555,6826.022,7503.1675,9933.125,12431.485,13703.4685
AEP,F,12644.5,12555,13797,13367,15380.35,15580.3,16710.85,20113.4,21770,23492.6,26393.05
AMGN,F,19862,22003.5,21153.5,22176,25014.5,24707,26794,25558,26407.5,27273.5,32301.5
APTV,F,4201,4423.5,4392.5,5075,5564.5,5139,5436,5899,5951.5,6132.5,7883.5
ASML,F,752.2755,1605.732,1301.3845,1070.526,2507.963,2840.258,2942.8445,3090.0425,4623.9815,5420.0395,5548.749
ATO,F,1549.2125,1928.2085,1819.505,2007.079,2515.5555,2300.5945,2706.4825,2601.262,2748.692,5529.518,6000.764
AZO,F,5271.012,5905.965,6310.51,6657.5315,7061.442,7234.597,7462.3755,8050.5595,10183.933,11200.298,12996.1675
BA,F,28311.5,28686,28372.5,29430,30094,32335,34597.5,54402,67492,58045.5,63529
BKNG,F,1145.99,1270.2995,2243.553,3402.0635,4996.472,6357.0085,5483.5,6439,7576.5,8369,9437.5
BWA,F,1921.8,2067.9,2496.25,3285.6,3012.6,3383.25,3268.25,3109.5,5331,5604.5,6013
CAT,F,38598,36065.5,37894,35602.5,34287,35220.5,37061,36256,35421,39325.5,39583
CLX,F,2756.5,2094,2310.5,2164,2350,2389,2213,2439,2782,3294,3165.5
CMI,F,3097,3820,4344.5,4188,4641,5894,6587.5,6648,7529.5,8074.5,12677
COP,F,25867,22952.5,21677.5,20483.5,19518,16923,13334,13620.5,12644.5,18715.5,17962
COST,F,11007,13636,14583.5,16160,14432.5,16838,18823.5,20519.5,24891.5,28289,29871.5
CSCO,F,11966.5,14154,14921.5,18778.5,20408.5,25134.5,20293.5,22708.5,14805.5,13949.5,11588
CSX,F,6788,6588,6443,6615.5,7163,7363,8886.5,10077,10116.5,10169.5,11249
CVS,F,14382.5,17297.5,19470.5,28649.5,29606.5,31383.5,74788,90221.5,95101,97190,100435
CVX,F,35903.5,39954.5,41365,41227,48378,42922.5,39909.5,38125.5,43953,41901.5,41974.5
D,F,14197.5,14279,16004.5,17869,20979.5,22725,20517,22380,21291.5,23341,28342
DIS,F,15497.5,14840,16211.5,18891,21145.5,24651,21882,45756.5,50426,48107.5,43544
DPZ,F,941.8135,935.9605,922.233,1349.4,1343.074,1818.053,1994.2285,2460.868,2458.31,2954.7705,2893.909
DUK,F,25234.5,24850,26616.5,27284.5,31091,34249.5,37216.5,39606.5,40113.5,43365,46828.5
EBAY,F,12086,11633.5,15184.5,3738.5,5488.5,6433,6348.5,5772,5586.5,6815.5,6679.5
EOG,F,5438.328,5214.318,5818.804,4805.3745,5008.2945,5218.784,5738.0275,6108.4755,5595.5115,5334,6300.5
EW,F,412.05,599.45,701.35,732.75,926.65,1424.6,941,1133.05,1132.05,1232,1187
GD,F,6155,5810,5710,5235,6267,6600,11533.5,13218,13635.5,12005.5,11594.5
GILD,F,7680.6755,8173.206,11482.5,19983.5,22190,26319.5,22702,20832,25425.5,23905,21990
GM,F,41013,53635.5,59169.5,71263.5,90373,90109,95739,97080,106662,107071.5,122316.5
HCA,F,19595.5,19159,19804.5,20293.5,21023,22158,23119.5,24838,24378,27043.5,29039
HES,F,11075,8461,7516.5,5812,5501,5550.5,5424.5,6279.5,5929,6618.5,6605
HII,F,1934.5,1865,1785,1538.5,1560,1648.5,1807.5,1877,2069.5,3151,3177
HON,F,13567.5,15169.5,15441,19084,19841,22815.5,21233,21177,24449.5,23502.5,23783
INTC,F,16823,17512.5,19424.5,23225,26659.5,26883.5,28149,30957.5,36115.5,39151.5,45764
IPG,F,8732.1,8730.2,8275.05,8389.45,8147.55,8312.2,9408.9,10870.55,11048.9,12391.6,11363.9
JNJ,F,28942.5,31569,32146,33425.5,36537,44020.5,44254,47303,57418.5,59106.5,67119
LLY,F,3959.9,4232.05,6500.65,5330.5,7470.6,10087.55,14439.75,15906,16758.9,18686,20644.35
MMM,F,6877.5,7273,6895,9644.5,9698.5,11816,12104,16248,14947.5,15315,14712
MSFT,F,14637.5,18244.5,24551.5,33075,45863,62679.5,61260.5,63113.5,64411.5,71771.5,71879.5
NFLX,F,1712.462,2203.186,2852.768,4368.584,5825.3405,8097.406,10906.45,13369.466,14719.182,14696.241,13795.4375
NVDA,F,676.192,1319.9775,1295.51,2031,2675.5,2030.5,2079,2719,6740,9179.5,9647.5
NVO,F,2211.085,2349.365,2513.081,2514.587,2697.766,2523.856,2445.718,1402.132,2365.5705,4441.138,4197.1775
PEP,F,24930,26380.5,26081.5,28301.5,32290.5,33285,29682.5,31108,38888.5,38811,39580
PFE,F,28252,26284,26135.5,30548,33410,33574,32356.5,41913.5,29514.5,30952.5,31522
T,F,57576,61250,67653.5,97265.5,97810.5,135830,136564,144350.5,140490.5,162174.5,122984
UNH,F,27721.5,28447.5,30689.5,45688,49833.5,50325.5,55859.5,62969,68510,73937.5,87137.5
VZ,F,43164,63659,73226,75649.5,73438.5,80023,81144.5,93625.5,99186.5,117825,117315
XOM,F,47520,56760.5,55169.5,51437.5,50845,57287,55453,68804.5,71260.5,64846,72296
